RT ID,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
R11200T7,21787.2863,24017.9792,54281.7885,57996.8383,52541.8683,46292.9539,33337.0603,31629.2126
R11215T7,21317.3176,32148.4612,71624.2874,61416.6376,55099.2149,50473.097,34736.1686,31888.3899
R11230T7,19711.1192,28587.471,74914.8479,52414.2568,51563.3013,48064.7331,36448.7886,39379.2134
R11260T7,24318.3411,27344.0507,49907.8826,58650.4748,54562.088,56771.235,43168.1149,43454.9772
R11290T7,31284.7008,44903.6664,75492.1755,60148.5624,66720.2541,61292.5799,42495.8483,47069.4039
R11305T7,17797.0612,24040.8591,43117.1561,39174.5316,43163.3355,45371.5233,35006.5195,42166.1703
R11320T7,18609.1506,24336.1897,34987.5104,37625.868,40882.7286,43626.7136,36318.62,38730.5984
R11350T7,35347.8553,59687.0381,68995.4763,64192.5991,78849.5191,77294.4826,56486.3156,60614.7093
R11380T7,30833.7913,40235.2028,59566.0546,70696.2508,73174.6459,66028.198,49128.2908,53735.0852
R11410T7,20251.5318,29425.4846,68672.8701,53559.8915,52193.2284,48222.6764,33194.5979,36216.0201
R11440T7,24364.2065,32403.7742,79642.8124,77810.9231,70181.6233,53751.6967,34807.089,35891.6192
R11470T7,30264.5223,48133.2394,42795.2627,50895.6613,64793.7561,55022.8874,38205.8222,37719.5882
R11500T7,41614.8851,43305.4813,77754.9379,103380.9998,89770.3978,72303.3183,57275.5415,57427.0517
R11530T7,28197.5859,28785.3487,49508.957,65605.2834,62974.6255,54421.3089,41371.5497,39396.5109
R11545T7,10681.8696,12332.5606,32039.3133,38370.7632,31051.2301,30498.3192,22697.7189,19407.8974
R11560T7,26209.0793,26827.9899,62319.2182,83428.8072,68935.5719,59455.0034,42557.0456,39073.4542
R11590T7,25679.6267,31759.902,75537.9189,66167.3811,59879.7443,52213.5931,39198.3368,42145.2762
R11620T7,22304.9361,30670.4621,118585.0433,94233.1123,68169.8524,58192.4446,42993.2474,46297.3775
R11650T7,40806.5642,49446.8228,58367.5009,75797.2587,93070.0827,72850.2821,47483.5242,45406.7793
R11680T7,50094.2671,75303.5462,88293.1384,113140.0922,130016.3893,96252.2895,61449.2602,59869.6777
R11710T7,59633.5412,68535.8199,90817.9497,125000.0089,123101.8469,103269.4956,76375.8907,68520.8833
