호선,고유역번호(외부역코드),연월,하차인원수,자치구코드,호선역
6,2616,202202,127746,111181,구산(6)
6,2617,202202,260179,111181,새절(6)
6,2618,202202,223567,111181,증산(6)
6,2619,202202,306134,111181,디지털미디어시티(6)
6,2620,202202,97998,111201,월드컵경기장(6)
6,2621,202202,286314,111201,마포구청(6)
6,2622,202202,346966,111201,망원(6)
6,2623,202202,284537,111201,합정(6)
6,2624,202202,216936,111201,상수(6)
6,2625,202202,184453,111201,광흥창(6)
6,2626,202202,177080,111201,대흥(6)
6,2627,202202,360597,111201,공덕(6)
6,2628,202202,136004,111131,효창공원앞(6)
6,2629,202202,116391,111131,삼각지(6)
6,2630,202202,106976,111131,녹사평(6)
6,2631,202202,237266,111131,이태원(6)
6,2632,202202,217268,111131,한강진(6)
6,2633,202202,45805,111121,버티고개(6)
6,2634,202202,77734,111121,약수(6)
6,2635,202202,85542,111121,청구(6)
6,2636,202202,184286,111121,신당(6)
6,2637,202202,184831,111123,동묘앞(6)
6,2638,202202,60016,111123,창신(6)
6,2639,202202,149617,111161,보문(6)
6,2640,202202,215127,111161,안암(6)
6,2641,202202,168651,111161,고려대(6)
6,2642,202202,245476,111161,월곡(6)
6,2643,202202,120788,111161,상월곡(6)
6,2644,202202,192072,111161,돌곶이(6)
6,2645,202202,277135,111311,석계(6)
6,2646,202202,130673,111311,태릉입구(6)
6,2647,202202,197476,111311,화랑대(6)
6,2648,202202,182130,111151,봉화산(6)
7,2712,202202,235932,111171,도봉산(7)
7,2713,202202,277991,111311,수락산(7)
7,2714,202202,269204,111311,마들(7)
7,2715,202202,455431,111311,노원(7)
7,2716,202202,276007,111311,중계(7)
7,2717,202202,357550,111311,하계(7)
7,2718,202202,263981,111311,공릉(7)
7,2719,202202,178146,111311,태릉입구(7)
7,2720,202202,225006,111151,먹골(7)
7,2721,202202,235011,111151,중화(7)
7,2722,202202,353711,111151,상봉(7)
7,2723,202202,333616,111151,면목(7)
7,2724,202202,357308,111151,사가정(7)
7,2725,202202,133573,111151,용마산(7)
7,2726,202202,223959,111141,중곡(7)
7,2727,202202,268301,111141,군자(7)
7,2728,202202,277433,111141,어린이대공원(7)
7,2729,202202,286218,111141,건대입구(7)
7,2730,202202,164320,111141,뚝섬유원지(7)
7,2731,202202,442304,111261,청담(7)
7,2732,202202,375360,111261,강남구청(7)
7,2733,202202,511361,111261,학동(7)
7,2734,202202,454229,111261,논현(7)
7,2735,202202,120684,111262,반포(7)
7,2736,202202,288628,111262,고속터미널(7)
7,2737,202202,308945,111262,내방(7)
7,2738,202202,336092,111241,이수(7)
7,2739,202202,227842,111241,남성(7)
7,2740,202202,257721,111241,숭실대입구(7)
7,2741,202202,224353,111241,상도(7)
7,2742,202202,199409,111241,장승배기(7)
7,2743,202202,350300,111241,신대방삼거리(7)
7,2744,202202,206285,111241,보라매(7)
7,2745,202202,245519,111231,신풍(7)
7,2746,202202,184911,111231,대림(7)
7,2747,202202,350956,111221,남구로(7)
7,2748,202202,878386,111281,가산디지털단지(7)
7,2751,202202,229551,111221,천왕(7)
7,2752,202202,199122,111221,온수(7)
8,2811,202202,367140,111274,암사(8)
8,2812,202202,383927,111274,천호(8)
8,2813,202202,232965,111274,강동구청(8)
8,2814,202202,134081,111273,몽촌토성(8)
8,2815,202202,370861,111273,잠실(8)
8,2816,202202,200861,111273,석촌(8)
8,2817,202202,164651,111273,송파(8)
8,2818,202202,179229,111273,가락시장(8)
8,2819,202202,458992,111273,문정(8)
8,2820,202202,361713,111273,장지(8)
8,2821,202202,172456,111273,복정(8)
9,4126,202202,38833,111261,언주(9)
9,4127,202202,34655,111261,선정릉(9)
9,4128,202202,26940,111261,삼성중앙(9)
9,4129,202202,63552,111261,봉은사(9)
9,4130,202202,14534,111273,종합운동장(9)
9,4131,202202,37848,111273,삼전(9)
9,4132,202202,30717,111273,석촌고분(9)
